,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
361,284,Luc Mbah a Moute,PF,29,LAC,75,1274,,,27%,73%,1%,10.6,9.1,15,11,49,4,25,3,74,4,32,2016
362,285,James Michael McAdoo,PF,23,GSW,41,262,,,8%,45%,47%,-17.2,-30.2,5,5,20,6,17,1,41,3,15,2016
363,286,Ray McCallum,PG,24,TOT,41,475,84%,16%,,,,3.6,-1.0,18,2,16,1,5,1,132,0,14,2016
364,286,Ray McCallum,PG,24,SAS,31,256,86%,14%,,,,8.2,-3.5,8,1,6,1,3,1,73,0,7,2016
365,286,Ray McCallum,PG,24,MEM,10,219,81%,19%,,,,-1.6,0.7,10,1,10,0,2,0,59,0,7,2016
366,287,CJ McCollum,SG,24,POR,80,2780,34%,66%,,,,2.4,5.5,95,56,83,19,82,7,799,17,91,2016
367,288,T.J. McConnell,PG,23,PHI,81,1606,92%,8%,,,,-8.1,4.3,81,44,55,2,10,10,888,3,24,2016
368,289,Chris McCullough,PF,20,BRK,24,362,,,,82%,18%,-14.9,-8.0,2,6,28,4,11,0,20,1,9,2016
369,290,K.J. McDaniels,SF,22,HOU,37,235,1%,42%,57%,1%,,20.6,21.9,6,3,7,2,14,0,22,1,3,2016
370,291,Doug McDermott,SF,24,CHI,81,1861,,3%,92%,6%,,-3.7,-3.8,19,19,64,8,32,5,140,12,34,2016
371,292,Mitch McGary,PF,23,OKC,20,72,,,,70%,30%,-30.9,-38.9,2,3,6,0,3,0,7,0,3,2016
372,293,JaVale McGee,C,28,DAL,34,370,,,,1%,99%,-7.7,-8.3,5,5,24,5,14,5,6,2,10,2016
373,294,Ben McLemore,SG,22,SAC,68,1443,2%,88%,11%,,,0.4,5.0,29,40,68,13,37,11,182,8,24,2016
374,295,Jordan McRae,PG,24,TOT,22,195,67%,33%,,,,12.2,13.0,7,4,8,2,13,2,59,3,8,2016
375,295,Jordan McRae,PG,24,PHO,7,82,69%,31%,,,,8.8,16.4,3,1,3,0,6,1,23,1,1,2016
376,295,Jordan McRae,PG,24,CLE,15,113,66%,33%,,,,14.7,8.4,4,3,5,2,7,1,36,2,7,2016
377,296,Josh McRoberts,PF,28,MIA,42,595,,,,79%,21%,1.5,-0.6,17,7,37,5,16,0,179,4,8,2016
378,297,Jodie Meeks,SG,28,DET,3,43,,100%,,,,7.4,7.1,0,1,0,0,2,0,7,0,2,2016
379,298,Salah Mejri,C,29,DAL,34,397,,,,,100%,5.7,6.5,7,6,28,4,18,6,21,2,15,2016
380,299,Jordan Mickey,PF,21,BOS,16,57,,,16%,80%,5%,6.3,3.0,1,0,2,0,6,0,3,2,5,2016
381,300,Khris Middleton,SG,24,MIL,79,2852,,2%,81%,17%,,-0.6,12.4,95,48,79,24,107,6,704,20,42,2016
