,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
79,60,Chris Bosh,C,29,MIA,79,2531,,,,6%,94%,9.0,10.2,52,44,77,14,127,8,206,23,32,2014
80,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
81,61,Avery Bradley,SG,23,BOS,60,1855,70%,30%,,,,-3.3,3.3,48,31,55,4,51,12,188,11,43,2014
82,62,Elton Brand,C,34,ATL,73,1414,,,,1%,99%,-1.0,-1.1,19,22,111,9,44,8,178,10,14,2014
83,63,Corey Brewer,SF,27,MIN,81,2609,,12%,87%,1%,,5.7,9.7,41,39,87,11,104,20,307,30,43,2014
84,64,Ronnie Brewer,SF,28,TOT,24,160,,19%,79%,2%,,-11.6,-15.4,2,0,2,0,1,1,26,0,0,2014
85,64,Ronnie Brewer,SF,28,HOU,23,158,,19%,79%,2%,,-10.6,-16.0,2,0,2,0,1,1,26,0,0,2014
86,64,Ronnie Brewer,SF,28,CHI,1,2,,,100%,,,-70.0,-72.1,0,0,0,0,0,0,0,0,0,2014
87,65,Aaron Brooks,PG,29,TOT,72,1557,100%,,,,,-2.7,-4.9,69,35,59,5,30,12,546,2,37,2014
88,65,Aaron Brooks,PG,29,HOU,43,716,100%,,,,,-1.1,-7.3,30,11,32,4,15,6,205,0,15,2014
89,65,Aaron Brooks,PG,29,DEN,29,841,100%,,,,,-3.9,-2.2,39,24,27,1,15,6,341,2,22,2014
90,66,MarShon Brooks,SG,25,TOT,35,316,6%,64%,30%,,,3.8,6.1,6,9,6,1,17,4,55,4,7,2014
91,66,MarShon Brooks,SG,25,BOS,10,73,,39%,61%,,,6.7,12.0,3,3,1,0,3,0,8,0,1,2014
92,66,MarShon Brooks,SG,25,GSW,7,15,13%,88%,,,,8.6,3.7,0,0,0,0,0,0,0,0,0,2014
93,66,MarShon Brooks,SG,25,LAL,18,228,8%,70%,22%,,,2.6,9.2,3,6,5,1,14,4,47,4,6,2014
94,67,Lorenzo Brown,PG,23,PHI,26,224,99%,1%,,,,-1.3,10.0,6,3,7,3,6,2,96,1,10,2014
95,68,Shannon Brown,SG,28,TOT,29,251,,94%,6%,,,-11.9,-16.1,5,6,16,1,5,1,20,1,2,2014
96,68,Shannon Brown,SG,28,SAS,10,103,,87%,13%,,,-14.5,-23.3,3,1,8,0,2,0,11,1,2,2014
97,68,Shannon Brown,SG,28,NYK,19,148,,100%,,,,-10.0,-9.4,2,5,8,1,3,1,9,0,0,2014
