,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
406,308,Paul Millsap,PF,28,ATL,74,2482,,,,93%,7%,2.2,6.8,69,59,101,29,177,7,549,38,69,2014
407,309,Tony Mitchell,PF,21,DET,21,79,,,10%,83%,6%,6.0,10.2,2,1,1,1,8,1,5,1,4,2014
408,310,Tony Mitchell,SF,24,MIL,3,10,,65%,35%,,,-2.8,6.2,0,0,0,0,0,0,2,0,0,2014
409,311,Nazr Mohammed,C,36,CHI,80,562,,,,9%,91%,-0.2,-2.7,18,10,39,6,14,2,46,4,8,2014
410,312,Greg Monroe,PF,23,DET,82,2690,,,,64%,36%,-3.6,1.4,54,69,110,19,171,10,388,41,107,2014
411,313,E'Twaun Moore,SG,24,ORL,79,1506,8%,83%,9%,,,-4.2,2.6,29,13,60,2,27,8,245,9,29,2014
412,314,Darius Morris,PG,23,TOT,27,313,98%,2%,,,,-9.4,-8.9,10,7,12,5,8,4,100,4,6,2014
413,314,Darius Morris,PG,23,PHI,12,193,100%,,,,,-8.1,2.7,7,4,8,5,6,3,70,4,4,2014
414,314,Darius Morris,PG,23,LAC,10,54,89%,11%,,,,-22.1,-29.5,1,0,2,0,1,0,14,0,0,2014
415,314,Darius Morris,PG,23,MEM,5,66,100%,,,,,-1.8,-3.9,2,3,2,0,1,1,16,0,2,2014
416,315,Marcus Morris,SF,24,PHO,82,1800,,,56%,43%,1%,4.2,3.1,36,23,89,8,57,9,199,12,25,2014
417,316,Markieff Morris,PF,24,PHO,81,2153,,,,72%,28%,2.8,0.8,53,41,106,26,129,6,343,25,35,2014
418,317,Anthony Morrow,SG,28,NOP,76,1426,8%,70%,21%,1%,,0.0,4.0,22,19,50,4,25,9,131,9,11,2014
419,318,Donatas Motiejūnas,PF,23,HOU,62,952,,,,58%,42%,3.4,-1.9,14,14,58,9,38,4,93,10,21,2014
420,319,Arnett Moultrie,PF,23,PHI,12,187,,,,31%,69%,-16.7,-6.3,2,3,13,2,4,0,4,1,4,2014
421,320,Timofey Mozgov,C,27,DEN,82,1770,,,,,100%,1.2,6.1,28,33,112,33,103,4,150,21,51,2014
422,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
423,321,Shabazz Muhammad,SG,21,MIN,37,290,,70%,30%,,,-11.8,-15.4,4,7,11,4,23,0,15,8,15,2014
424,322,Byron Mullens,C,24,TOT,45,414,,,,,100%,-18.1,-17.0,7,11,34,8,6,1,36,0,11,2014
425,322,Byron Mullens,C,24,LAC,27,167,,,,,100%,-12.9,-20.8,4,2,16,7,2,1,16,0,6,2014
426,322,Byron Mullens,C,24,PHI,18,247,,,,,100%,-21.3,-11.3,3,9,18,1,4,0,20,0,5,2014
427,323,Erik Murphy,C,23,CHI,24,62,,,,3%,97%,-39.2,-41.9,0,2,5,0,0,0,4,0,1,2014
428,324,Toure' Murry,PG,24,NYK,51,373,97%,3%,,,,-2.4,-1.5,23,9,19,0,16,2,110,3,11,2014
429,325,Mike Muscala,PF,22,ATL,20,215,,,,21%,79%,-20.1,-21.0,2,6,17,2,5,1,16,2,5,2014
430,326,Hamady N'Diaye,C,27,SAC,14,74,,,,4%,97%,-16.6,-13.7,0,1,4,2,1,0,7,1,2,2014
431,327,Steve Nash*,PG,39,LAL,15,313,28%,72%,,,,-9.9,-4.1,22,6,4,0,10,2,200,1,4,2014
432,328,Gary Neal,SG,29,TOT,52,1114,7%,90%,3%,,,-8.8,-4.9,28,18,24,10,36,8,188,10,14,2014
433,328,Gary Neal,SG,29,MIL,30,607,14%,82%,5%,,,-15.5,-7.7,18,11,10,5,17,6,103,4,8,2014
434,328,Gary Neal,SG,29,CHA,22,507,,100%,,,,-0.6,-0.5,10,7,14,5,19,2,85,6,6,2014
435,329,Nemanja Nedović,SG,22,GSW,24,142,58%,42%,,,,-23.6,-29.6,8,4,3,1,3,1,32,0,3,2014
436,330,Jameer Nelson,PG,31,ORL,68,2179,100%,,,,,-6.9,-2.4,96,47,51,5,42,18,1065,8,35,2014
437,331,Andrew Nicholson,PF,24,ORL,76,1174,,,,77%,24%,-6.7,-1.3,10,13,72,13,26,4,63,9,13,2014
438,332,Joakim Noah,C,28,CHI,80,2820,,,,,100%,4.0,6.6,98,46,108,30,140,15,954,30,75,2014
439,333,Steve Novak,PF,30,TOR,54,540,,,3%,67%,30%,1.3,-2.8,1,2,20,1,1,4,32,0,0,2014
440,334,Dirk Nowitzki,PF,35,DAL,80,2628,,,,73%,28%,4.5,6.1,54,43,107,9,125,13,490,29,19,2014
441,335,James Nunnally,SF,23,TOT,13,165,,10%,91%,,,-12.9,-7.4,2,2,4,1,4,0,18,1,0,2014
442,335,James Nunnally,SF,23,ATL,4,54,,5%,95%,,,-11.3,-11.2,2,1,2,0,2,0,4,0,0,2014
443,335,James Nunnally,SF,23,PHI,9,111,,12%,88%,,,-13.5,-2.9,0,1,2,1,2,0,14,1,0,2014
444,336,Jermaine O'Neal,PF,35,GSW,44,883,,,,28%,72%,1.8,-4.1,12,13,50,15,58,8,59,13,23,2014
445,337,Kyle O'Quinn,C,23,ORL,69,1188,,,,30%,70%,-0.3,7.8,33,13,86,22,38,5,170,9,21,2014
446,338,Greg Oden,C,26,MIA,23,212,,,,,100%,-5.8,-11.8,1,4,26,4,12,2,3,5,5,2014
447,339,Victor Oladipo,PG,21,ORL,80,2487,59%,41%,,,,-5.4,1.0,122,87,94,22,134,17,728,25,90,2014
448,340,Kelly Olynyk,C,22,BOS,70,1400,,,,,100%,-1.7,5.2,28,31,110,26,50,5,249,10,35,2014
449,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
450,341,Arinze Onuaku,PF,26,TOT,5,30,,,,87%,13%,-16.1,-13.2,1,0,1,0,0,0,6,0,1,2014
451,341,Arinze Onuaku,PF,26,NOP,3,25,,,,100%,,-16.7,-14.2,1,0,1,0,0,0,6,0,1,2014
452,341,Arinze Onuaku,PF,26,CLE,2,5,,,,21%,79%,-15.6,-12.1,0,0,0,0,0,0,0,0,0,2014
453,342,Daniel Orton,C,23,PHI,22,251,,,,17%,83%,-6.2,4.8,4,6,13,7,12,1,35,5,7,2014
454,343,Travis Outlaw,SF,29,SAC,63,1065,,7%,54%,38%,1%,-4.8,-2.2,16,4,51,2,16,5,105,1,11,2014
455,344,Zaza Pachulia,C,29,MIL,53,1325,,,,1%,99%,-7.7,1.9,35,27,41,19,41,16,292,7,36,2014
456,345,Jannero Pargo,PG,34,CHA,29,242,99%,1%,,,,-12.1,-12.7,18,6,5,0,3,3,127,0,4,2014
457,346,Tony Parker,PG,31,SAS,68,1997,95%,5%,,,,6.9,-2.5,72,48,36,10,82,7,897,19,53,2014
458,347,Chandler Parsons,SF,25,HOU,74,2783,,1%,86%,12%,,5.6,2.5,71,44,63,14,101,17,695,27,64,2014
459,348,Patrick Patterson,PF,24,TOT,65,1533,,,1%,95%,4%,5.4,6.4,19,11,62,25,30,4,193,5,12,2014
460,348,Patrick Patterson,PF,24,SAC,17,415,,,,88%,12%,-4.5,-1.5,4,2,14,8,8,1,35,2,5,2014
461,348,Patrick Patterson,PF,24,TOR,48,1118,,,1%,98%,1%,9.1,7.6,15,9,48,17,22,3,158,3,7,2014
462,349,Chris Paul,PG,28,LAC,62,2171,100%,,,,,11.1,9.2,93,34,48,13,66,17,1495,16,32,2014
463,350,Nikola Peković,C,28,MIN,54,1663,,,,,100%,7.3,8.3,18,25,52,25,128,3,121,30,70,2014
464,351,Kendrick Perkins,C,29,OKC,62,1207,,,,,100%,1.9,-7.0,29,20,67,26,27,4,148,5,25,2014
465,352,Paul Pierce,SF,36,BRK,75,2098,,1%,47%,52%,,1.9,5.5,73,38,95,18,125,13,421,23,40,2014
466,353,Dexter Pittman,C,25,ATL,2,3,,,,,100%,0.0,0.3,0,0,0,0,1,0,0,0,0,2014
467,354,Mason Plumlee,C,23,BRK,70,1275,,,,8%,92%,-2.3,-2.3,24,27,85,15,97,4,141,20,35,2014
468,355,Miles Plumlee,C,25,PHO,80,1964,,,,1%,100%,1.1,-2.8,34,27,101,18,64,5,104,16,33,2014
469,356,Quincy Pondexter,SG,25,MEM,15,270,,77%,22%,1%,,-18.6,-22.2,6,3,9,2,13,1,43,3,8,2014
470,357,Otto Porter,SF,20,WAS,37,319,,72%,28%,,,-3.3,-5.0,8,4,9,1,6,1,23,3,3,2014
471,358,Josh Powell,PF,31,HOU,1,19,100%,,,,,-18.9,-23.9,0,0,0,1,0,0,0,0,2,2014
472,359,Phil Pressey,PG,22,BOS,75,1132,100%,,,,,-1.1,5.6,60,19,39,4,14,0,537,0,10,2014
473,360,A.J. Price,SG,27,MIN,28,99,79%,21%,,,,-1.4,-4.1,2,2,4,0,2,0,30,2,0,2014
474,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
475,361,Ronnie Price,SG,30,ORL,31,377,60%,39%,1%,,,-2.8,3.3,14,9,18,2,6,4,143,1,4,2014
476,362,Pablo Prigioni,PG,36,NYK,66,1283,78%,22%,,,,1.6,3.9,44,9,42,0,5,16,539,0,5,2014
477,363,Tayshaun Prince,SF,33,MEM,76,1948,,3%,94%,3%,,1.4,-1.4,26,11,42,2,23,9,257,4,13,2014
478,364,Miroslav Raduljica,C,26,MIL,48,465,,,,,100%,-6.8,2.4,1,6,36,14,23,4,49,5,17,2014
479,365,Anthony Randolph,PF,24,DEN,43,527,,,7%,73%,20%,-10.3,-9.4,20,5,20,9,30,1,81,7,11,2014
480,366,Shavlik Randolph,PF,30,PHO,14,95,,,,91%,9%,23.1,21.1,1,1,5,2,6,1,2,1,3,2014
481,367,Zach Randolph,PF,32,MEM,79,2705,,,,90%,10%,3.2,3.5,63,58,69,36,140,9,446,32,115,2014
482,368,J.J. Redick,SG,29,LAC,35,987,11%,88%,2%,,,9.2,2.9,24,12,41,1,34,11,183,4,8,2014
483,369,Glen Rice Jr.,SG,23,WAS,11,109,,80%,20%,,,1.8,0.5,3,3,3,1,2,0,14,0,1,2014
484,370,Luke Ridnour,PG,32,TOT,61,1141,98%,2%,,,,-9.3,-5.5,50,9,49,4,5,14,398,1,8,2014
485,370,Luke Ridnour,PG,32,MIL,36,763,100%,,,,,-13.1,-5.1,36,5,29,3,5,10,275,1,7,2014
486,370,Luke Ridnour,PG,32,CHA,25,378,95%,5%,,,,-1.7,-1.7,14,4,20,1,0,4,123,0,1,2014
487,371,Austin Rivers,PG,21,NOP,69,1339,79%,21%,,,,1.2,5.6,32,26,57,12,79,9,366,18,50,2014
488,372,Andre Roberson,SG,22,OKC,40,399,,72%,29%,,,6.4,-0.5,4,6,27,6,3,5,31,0,5,2014
489,373,Brian Roberts,PG,28,NOP,72,1667,100%,,,,,-4.9,-4.1,56,27,55,3,44,18,525,10,29,2014
490,374,Nate Robinson,PG,29,DEN,44,866,100%,,,,,5.7,9.9,35,16,27,3,31,6,246,4,18,2014
491,375,Thomas Robinson,PF,22,POR,70,873,,,,88%,12%,-4.2,-10.3,18,17,59,8,44,7,80,10,31,2014
492,376,Rajon Rondo,PG,27,BOS,30,998,98%,2%,,,,-10.0,-6.6,64,27,22,5,30,8,668,9,27,2014
493,377,Derrick Rose,PG,25,CHI,10,311,100%,,,,,-4.9,-7.6,14,18,7,1,12,3,95,3,18,2014
494,378,Terrence Ross,SG,22,TOR,81,2159,1%,93%,7%,,,3.5,-0.3,47,19,91,9,32,13,174,10,34,2014
495,379,Ricky Rubio,PG,23,MIN,82,2638,89%,11%,,,,6.6,12.6,175,31,78,1,93,36,1582,18,67,2014
496,380,Brandon Rush,SG,28,UTA,38,418,,8%,91%,1%,,-10.7,-3.1,13,3,17,1,4,0,56,3,5,2014
497,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
498,381,Robert Sacre,C,24,LAL,65,1089,,,,,100%,-5.8,0.5,9,15,85,13,44,6,135,6,28,2014
499,382,John Salmons,SG-SF,34,TOT,78,1726,2%,44%,54%,1%,,-0.1,-0.4,30,13,66,2,19,5,349,2,25,2014
500,382,John Salmons,SF,34,SAC,18,445,,7%,92%,2%,,-6.4,-3.6,9,2,18,1,2,1,103,1,7,2014
501,382,John Salmons,SG,34,TOR,60,1281,2%,57%,41%,,,2.1,-2.3,21,11,48,1,17,4,246,1,18,2014
502,383,Larry Sanders,C,25,MIL,23,584,,,,2%,98%,-9.3,-0.4,8,6,34,8,20,1,38,5,22,2014
503,384,Dennis Schröder,PG,20,ATL,49,641,100%,,,,,-15.0,-17.4,38,9,17,4,18,4,210,5,15,2014
504,385,Luis Scola,PF,33,IND,82,1399,,,,97%,3%,0.4,-6.6,40,30,43,23,60,5,193,4,30,2014
505,386,Mike Scott,PF,25,ATL,80,1482,,,7%,90%,3%,-6.2,-9.4,28,29,52,15,62,3,177,18,27,2014
506,387,Thabo Sefolosha,SG,29,OKC,61,1584,,81%,19%,,,3.9,-4.9,23,17,41,7,24,2,207,3,18,2014
507,388,Kevin Séraphin,C,24,WAS,53,578,,,,14%,86%,-2.9,-4.9,7,15,51,11,14,3,42,7,14,2014
508,389,Ramon Sessions,PG,27,TOT,83,2214,52%,48%,,,,-3.8,1.0,86,40,28,10,149,13,766,24,61,2014
509,389,Ramon Sessions,PG,27,CHA,55,1305,59%,41%,,,,-1.5,-2.0,54,24,17,6,92,9,469,15,43,2014
510,389,Ramon Sessions,PG,27,MIL,28,909,42%,58%,,,,-7.2,2.3,32,16,11,4,57,4,297,9,18,2014
511,390,Mustafa Shakur,PG,29,OKC,3,11,100%,,,,,-28.5,-35.4,2,0,1,0,1,0,10,0,0,2014
512,391,Tornike Shengelia,SF,22,TOT,26,154,,14%,70%,15%,,-9.1,-9.9,4,6,8,0,3,0,31,1,4,2014
513,391,Tornike Shengelia,SF,22,BRK,17,137,,15%,72%,13%,,-8.2,-7.8,4,6,7,0,3,0,26,1,2,2014
514,391,Tornike Shengelia,SF,22,CHI,9,17,,13%,55%,33%,,-18.2,-20.3,0,0,1,0,0,0,5,0,2,2014
515,392,Iman Shumpert,SG,23,NYK,74,1962,2%,87%,10%,,,5.2,12.3,34,24,91,7,17,20,305,4,16,2014
516,393,Alexey Shved,SG,25,MIN,63,664,11%,87%,3%,,,-2.2,-5.7,28,14,15,2,44,5,153,10,15,2014
517,394,Henry Sims,C,23,TOT,46,875,,,,8%,92%,-8.4,-1.3,15,11,58,10,51,3,119,9,20,2014
518,394,Henry Sims,C,23,CLE,20,168,,,,11%,89%,-5.3,-1.9,2,3,14,3,5,1,12,0,4,2014
519,394,Henry Sims,C,23,PHI,26,707,,,,8%,92%,-9.1,2.0,13,8,44,7,46,2,107,9,16,2014
520,395,Kyle Singler,SF,25,DET,82,2337,,23%,69%,8%,,-4.7,-1.7,24,24,104,10,77,13,172,11,43,2014
521,396,Chris Singleton,SF,24,WAS,25,250,,,49%,51%,,-12.9,-15.1,2,4,11,4,13,3,12,3,5,2014
522,397,Peyton Siva,SG,23,DET,24,224,94%,6%,,,,-7.3,-3.4,10,3,5,2,7,1,83,1,8,2014
523,398,Donald Sloan,SG,26,IND,48,392,94%,6%,,,,-11.1,-17.5,13,7,9,1,6,3,117,2,10,2014
524,399,Chris Smith,PG,26,NYK,2,2,100%,,,,,-100.0,-99.0,0,0,0,0,0,0,0,0,0,2014
525,400,Greg Smith,C,23,HOU,11,100,,,,15%,85%,-5.7,-10.8,0,0,7,3,3,1,0,1,6,2014
526,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
527,401,Ish Smith,PG,25,PHO,70,1006,100%,,,,,0.5,-2.7,43,14,33,3,19,11,429,7,19,2014
528,402,J.R. Smith,SF,28,NYK,74,2421,,24%,72%,5%,,-0.9,0.4,52,39,98,13,55,13,527,13,18,2014
529,403,Jason Smith,PF,27,NOP,31,830,,,,58%,43%,-2.9,-0.4,6,7,44,10,21,2,65,2,21,2014
530,404,Josh Smith,SF,28,DET,77,2730,,,56%,43%,,-3.8,0.8,104,76,99,11,137,16,574,43,39,2014
531,405,Tony Snell,SG,22,CHI,77,1231,,88%,11%,,,-4.4,-9.4,21,15,49,3,17,6,146,4,24,2014
532,406,James Southerland,SF,23,TOT,4,30,90%,,10%,,,6.8,8.2,1,0,3,0,0,0,0,0,0,2014
533,406,James Southerland,SF,23,CHA,1,3,,,100%,,,-50.0,-49.8,0,0,0,0,0,0,0,0,0,2014
534,406,James Southerland,SF,23,NOP,3,27,100%,,,,,12.9,15.5,1,0,3,0,0,0,0,0,0,2014
535,407,Marreese Speights,C,26,GSW,79,982,,,,14%,86%,-6.4,-15.1,18,22,61,19,62,11,76,18,20,2014
536,408,Tiago Splitter,C,29,SAS,59,1271,,,,53%,47%,10.4,3.3,32,18,60,16,83,7,203,18,43,2014
537,409,D.J. Stephens,SG,23,MIL,3,15,,69%,32%,,,-6.0,2.9,0,0,0,0,1,0,0,1,1,2014
538,410,Lance Stephenson,SG,23,IND,78,2752,2%,93%,5%,,,5.5,2.6,109,50,65,31,85,21,809,28,44,2014
539,411,Greg Stiemsma,C,28,NOP,55,1007,,,,7%,93%,-8.8,-8.3,9,11,85,18,12,9,79,3,10,2014
540,412,Julyan Stone,SG,25,TOR,21,120,79%,21%,,,,-20.8,-25.2,4,1,7,0,1,0,30,1,0,2014
541,413,Amar'e Stoudemire,C,31,NYK,65,1466,,,,58%,42%,-6.4,-8.4,11,33,71,20,95,6,85,21,33,2014
542,414,Rodney Stuckey,SG,27,DET,73,1950,,76%,24%,,,-4.6,-1.2,53,43,67,21,126,10,338,37,49,2014
543,415,Jared Sullinger,PF,21,BOS,74,2041,,,,30%,70%,-2.3,5.8,35,36,127,29,78,13,275,25,53,2014
544,416,Jeff Taylor,SF,24,CHA,26,629,,22%,78%,,,-7.0,-8.1,9,7,25,3,21,9,49,2,19,2014
545,417,Tyshawn Taylor,PG,23,BRK,23,270,86%,14%,,,,-22.5,-23.4,11,11,14,2,12,1,86,0,8,2014
546,418,Jeff Teague,PG,25,ATL,79,2542,73%,27%,,,,2.0,6.7,130,68,68,11,143,9,1222,34,73,2014
547,419,Marquis Teague,SG,20,TOT,40,443,57%,41%,3%,,,-7.0,-8.1,18,11,20,6,18,1,140,3,19,2014
548,419,Marquis Teague,SG,20,CHI,19,242,68%,32%,,,,4.1,2.1,7,3,6,5,9,1,65,2,11,2014
549,419,Marquis Teague,SG,20,BRK,21,201,43%,51%,6%,,,-19.3,-19.6,11,8,14,1,9,0,75,1,8,2014
550,420,Mirza Teletović,SF,28,BRK,72,1396,,,35%,64%,1%,-3.3,-3.9,23,16,76,5,23,1,134,5,22,2014
551,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
552,421,Garrett Temple,SG,27,WAS,75,638,36%,57%,7%,,,-4.6,-7.0,27,7,28,3,17,6,170,6,7,2014
553,422,Jason Terry,PG,36,BRK,35,570,100%,,,,,-5.9,-6.1,18,5,16,1,8,6,128,4,6,2014
554,423,Hasheem Thabeet,C,26,OKC,23,192,,,,,100%,2.4,-4.6,2,5,14,7,3,1,2,1,1,2014
555,424,Adonis Thomas,SF,20,TOT,6,37,35%,8%,57%,,,12.5,20.9,1,0,3,0,0,1,6,0,1,2014
556,424,Adonis Thomas,SF,20,ORL,4,24,,12%,88%,,,17.8,23.7,0,0,1,0,0,1,4,0,1,2014
557,424,Adonis Thomas,SF,20,PHI,2,13,100%,,,,,4.6,15.4,1,0,2,0,0,0,2,0,0,2014
558,425,Isaiah Thomas,PG,24,SAC,72,2497,100%,,,,,0.2,9.4,105,78,73,13,113,18,1012,29,57,2014
559,426,Lance Thomas,SF,25,NOP,5,42,,,2%,98%,,-5.1,-2.5,0,1,3,0,1,0,7,0,4,2014
560,427,Malcolm Thomas,PF,25,TOT,8,63,,,,94%,6%,1.3,1.1,1,5,5,0,1,0,5,0,0,2014
561,427,Malcolm Thomas,PF,25,SAS,1,15,,,,100%,,33.1,25.0,1,0,0,0,1,0,0,0,0,2014
562,427,Malcolm Thomas,PF,25,UTA,7,48,,,,92%,8%,-7.8,0.2,0,5,5,0,0,0,5,0,0,2014
563,428,Hollis Thompson,SF,22,PHI,77,1742,,1%,92%,7%,,-10.6,0.2,33,13,72,8,34,5,175,9,21,2014
564,429,Jason Thompson,PF,27,SAC,82,2007,,,,67%,33%,-0.3,5.9,21,28,105,32,64,9,121,11,35,2014
565,430,Klay Thompson,SG,23,GSW,81,2868,5%,88%,7%,,,9.3,15.5,55,39,111,15,79,5,406,13,48,2014
566,431,Tristan Thompson,PF,22,CLE,82,2594,,,12%,84%,4%,-4.9,-4.0,23,29,61,28,139,1,170,24,101,2014
567,432,Marcus Thornton,SG,26,TOT,72,1741,1%,93%,6%,,,0.1,2.6,41,18,37,5,41,4,173,7,19,2014
568,432,Marcus Thornton,SG,26,SAC,46,1121,,95%,5%,,,0.1,4.5,27,6,22,3,21,3,104,6,13,2014
569,432,Marcus Thornton,SG,26,BRK,26,620,1%,90%,9%,,,0.0,0.9,14,12,15,2,20,1,69,1,6,2014
570,433,Jamaal Tinsley,PG,35,UTA,8,110,100%,,,,,-20.4,-12.8,8,0,6,0,0,0,47,0,2,2014
571,434,Anthony Tolliver,PF,28,CHA,64,1298,,,74%,24%,2%,2.7,4.3,15,2,42,3,16,13,100,6,7,2014
572,435,P.J. Tucker,SF,28,PHO,81,2490,,3%,92%,6%,,2.1,-1.2,38,16,75,17,68,26,334,16,51,2014
573,436,Ronny Turiaf,C,31,MIN,31,606,,,,2%,98%,-1.4,-4.6,10,7,39,2,25,4,56,5,13,2014
574,437,Hedo Türkoğlu,SF,34,LAC,38,392,,,2%,98%,,2.6,-5.0,8,4,27,1,6,1,74,1,7,2014
575,438,Evan Turner,SF,25,TOT,81,2457,,33%,67%,,,-7.3,-5.8,90,71,101,14,108,6,596,20,108,2014
576,438,Evan Turner,SF,25,PHI,54,1886,,26%,73%,1%,,-8.4,4.4,76,57,76,10,91,3,451,15,85,2014
577,438,Evan Turner,SF,25,IND,27,571,,54%,46%,,,-3.1,-9.2,14,14,25,4,17,3,145,5,23,2014
578,439,Jeremy Tyler,C,22,NYK,41,398,,,,43%,57%,-6.1,-5.7,5,10,36,6,21,6,21,3,5,2014
579,440,Ekpe Udoh,PF,26,MIL,42,804,,,,68%,32%,-10.5,-1.9,14,5,50,11,16,2,73,1,15,2014
580,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
581,441,Beno Udrih,SG,31,TOT,41,643,92%,8%,,,,-9.2,-10.6,29,16,27,0,8,11,263,0,7,2014
582,441,Beno Udrih,SG,31,NYK,31,588,92%,9%,,,,-10.2,-10.8,25,15,26,0,7,11,248,0,7,2014
583,441,Beno Udrih,SG,31,MEM,10,55,96%,4%,,,,0.8,-1.3,4,1,1,0,1,0,15,0,0,2014
584,442,Jonas Valančiūnas,C,21,TOR,81,2282,,,,,100%,2.7,-2.3,18,41,102,36,115,11,133,31,62,2014
585,443,Anderson Varejão,C,31,CLE,65,1800,,,,21%,79%,1.6,9.2,33,26,73,9,51,21,324,11,25,2014
586,444,Jarvis Varnado,PF,25,TOT,24,339,,,1%,36%,63%,-13.0,-8.8,4,2,42,4,24,1,34,4,2,2014
587,444,Jarvis Varnado,PF,25,CHI,1,2,,,100%,,,-66.7,-68.8,0,0,0,0,0,0,0,0,0,2014
588,444,Jarvis Varnado,PF,25,PHI,23,337,,,,36%,64%,-12.7,-2.2,4,2,42,4,24,1,34,4,2,2014
589,445,Greivis Vásquez,PG,27,TOT,79,1779,65%,35%,,,,4.7,5.7,75,25,48,16,34,5,736,7,32,2014
590,445,Greivis Vásquez,PG,27,SAC,18,465,80%,20%,,,,-7.7,-5.1,14,9,14,1,7,0,211,2,11,2014
591,445,Greivis Vásquez,PG,27,TOR,61,1314,60%,40%,,,,9.2,8.2,61,16,34,15,27,5,525,5,21,2014
592,446,Jan Veselý,PF,23,TOT,54,776,,,,58%,42%,-7.7,-7.9,14,10,64,10,25,6,47,4,17,2014
593,446,Jan Veselý,PF,23,WAS,33,470,,,,84%,16%,-10.0,-12.8,10,4,32,7,13,4,21,3,10,2014
594,446,Jan Veselý,PF,23,DEN,21,306,,,,17%,83%,-4.3,-2.3,4,6,32,3,12,2,26,1,7,2014
595,447,Charlie Villanueva,PF,29,DET,20,180,,,4%,76%,20%,-20.4,-17.1,4,2,9,1,5,0,15,1,3,2014
596,448,Nikola Vučević,C,23,ORL,57,1812,,,,,100%,-5.2,1.1,37,16,87,23,59,1,245,11,37,2014
597,449,Sasha Vujačić,SG,29,LAC,2,10,,97%,3%,,,-45.1,-52.3,1,1,1,0,0,0,0,0,1,2014
598,450,Dwyane Wade,SG,32,MIA,54,1775,3%,93%,4%,,,4.3,-1.9,94,44,59,9,132,4,577,34,24,2014
599,451,Dion Waiters,SG,22,CLE,70,2072,,64%,36%,,,-1.9,3.3,71,45,52,11,100,6,490,24,66,2014
600,452,Kemba Walker,PG,23,CHA,73,2614,100%,,,,,2.9,9.0,88,65,67,1,108,34,998,15,73,2014
601,453,John Wall,PG,23,WAS,82,2980,100%,,,,,3.1,7.3,178,74,79,25,168,19,1684,43,53,2014
602,454,Gerald Wallace,SF,31,BOS,58,1416,,43%,55%,1%,,-5.8,-1.1,58,24,27,12,39,20,326,5,17,2014
603,455,Casper Ware,PG,24,PHI,9,116,95%,5%,,,,-2.6,8.4,5,0,5,0,1,3,21,0,1,2014
604,456,C.J. Watson,PG,29,IND,63,1193,100%,,,,,6.5,2.6,27,11,30,6,27,20,246,2,13,2014
605,457,Earl Watson,PG,34,POR,24,161,100%,,,,,0.1,-4.0,13,1,14,2,1,2,62,0,1,2014
606,458,Maalik Wayns,PG,22,LAC,2,9,100%,,,,,-31.1,-38.3,0,0,2,0,0,0,6,0,0,2014
607,459,Martell Webster,SF,27,WAS,78,2157,,44%,56%,1%,,0.0,-2.8,27,13,74,7,57,11,218,17,11,2014
608,460,David West,PF,33,IND,80,2472,,,,96%,4%,8.1,9.0,65,24,70,34,96,5,518,19,49,2014
609,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
610,461,Russell Westbrook,PG,25,OKC,46,1412,100%,,,,,8.0,1.9,100,41,21,23,122,5,719,20,39,2014
611,462,D.J. White,PF,27,CHA,2,10,,,,100%,,-2.9,-2.7,0,0,1,0,0,0,0,0,0,2014
612,463,Royce White,PF,22,SAC,3,9,,,,100%,,-37.5,-34.4,0,0,1,0,0,0,0,0,0,2014
613,464,Deron Williams,PG,29,BRK,64,2059,87%,13%,,,,4.9,11.7,80,44,70,12,70,15,930,21,35,2014
