,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
324,255,Zach LaVine,SG,21,MIN,47,1749,,99%,1%,,,-3.6,-4.4,37,26,44,7,57,1,309,14,38,2017
325,256,Ty Lawson,PG,29,SAC,69,1732,80%,20%,,,,-3.6,0.6,95,24,48,6,87,15,783,19,52,2017
326,257,Jake Layman,SF,22,POR,35,249,,,74%,26%,,-1.0,-0.8,2,6,17,2,7,0,28,0,4,2017
327,258,Courtney Lee,SG,31,NYK,77,2459,14%,81%,6%,,,-5.0,-2.9,45,17,68,0,36,2,418,9,22,2017
328,259,David Lee,PF,33,SAS,79,1477,,,,86%,14%,11.0,4.9,48,20,68,7,57,1,292,18,41,2017
329,260,Alex Len,C,23,PHO,77,1560,,,,,100%,-11.3,-8.9,34,22,110,34,96,1,99,20,47,2017
330,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
331,261,Kawhi Leonard,SF,25,SAS,74,2474,,,93%,7%,,8.5,1.6,63,54,48,15,212,13,641,46,33,2017
332,262,Meyers Leonard,PF,24,POR,74,1222,,,,11%,89%,-2.1,-2.7,16,12,101,5,6,16,178,1,8,2017
333,263,Jon Leuer,PF,27,DET,75,1944,,,,94%,6%,-1.7,-0.3,38,21,97,2,50,4,247,15,41,2017
334,264,Caris LeVert,SF,22,BRK,57,1237,,16%,84%,,,-3.2,4.6,36,15,54,1,40,3,272,7,14,2017
335,265,DeAndre Liggins,SG,28,TOT,62,777,18%,63%,19%,,,4.0,4.3,20,6,34,6,18,9,134,6,15,2017
336,265,DeAndre Liggins,SG,28,CLE,61,752,19%,62%,19%,,,3.7,0.5,20,6,33,6,16,9,134,5,14,2017
337,265,DeAndre Liggins,SG,28,DAL,1,25,8%,81%,11%,,,13.5,16.8,0,0,1,0,2,0,0,1,1,2017
338,266,Damian Lillard,PG,26,POR,75,2694,97%,3%,,,,1.1,4.5,127,50,87,13,196,31,1037,46,101,2017
339,267,Jeremy Lin,PG,28,BRK,36,883,100%,,,,,-4.1,3.0,51,27,35,4,49,9,422,8,26,2017
340,268,Shaun Livingston,PG,31,GSW,76,1345,66%,34%,,,,6.8,-7.4,38,12,58,3,31,5,317,11,10,2017
341,269,Shawn Long,C,24,PHI,18,234,,,,20%,81%,3.3,9.8,1,5,28,6,14,1,30,5,8,2017
342,270,Kevon Looney,C,20,GSW,53,447,,,3%,39%,58%,-0.6,-13.9,4,6,28,5,14,0,71,5,14,2017
343,271,Brook Lopez,C,28,BRK,75,2222,,,,,100%,-4.4,4.6,65,55,74,37,183,3,420,53,50,2017
344,272,Robin Lopez,C,28,CHI,81,2271,,,,,100%,0.8,1.6,27,20,86,24,46,3,184,14,39,2017
345,273,Kevin Love,PF,28,CLE,60,1885,,,,87%,13%,8.1,9.2,57,41,56,17,110,5,274,21,59,2017
