,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
117,94,Ian Clark,SG,23,DEN,7,31,.364,15.5,,.545,.182,.182,.091,.091,.455,,.500,1.000,.000,1.000,.000,.200,,.333,1.000,,.000,0,,.400,.000,,0,0,2015
118,95,Jordan Clarkson,PG,22,LAL,59,1476,.448,12.2,,.797,.285,.181,.106,.221,.203,,.482,.665,.324,.476,.386,.314,,.279,.737,,.035,20,,.099,.333,,0,0,2015
119,96,Victor Claver,SF,26,POR,10,76,.450,16.1,,.450,.300,.050,.000,.100,.550,,.333,.333,.000,,.500,.545,,1.000,1.000,,.050,1,,.273,.667,,0,0,2015
120,97,Norris Cole,PG,26,TOT,75,1831,.412,14.9,,.685,.244,.102,.093,.246,.315,,.458,.537,.316,.442,.445,.313,,.400,.836,,.004,2,,.295,.288,,1,0,2015
121,97,Norris Cole,PG,26,MIA,47,1148,.386,14.1,,.667,.297,.101,.069,.199,.333,,.446,.538,.323,.429,.377,.265,,.407,.852,,.003,1,,.284,.172,,0,0,2015
122,97,Norris Cole,PG,26,NOP,28,683,.444,15.9,,.706,.179,.103,.123,.302,.294,,.472,.533,.308,.452,.500,.378,,.393,.821,,.004,1,,.311,.435,,1,0,2015
123,98,Darren Collison,PG,27,SAC,45,1565,.473,14.7,,.707,.247,.093,.107,.260,.293,,.514,.684,.216,.475,.476,.373,,.225,.650,,.009,5,,.304,.469,,3,0,2015
124,99,Nick Collison,PF,34,OKC,66,1101,.419,11.4,,.763,.379,.138,.047,.198,.237,,.466,.646,.371,.167,.260,.267,,.689,1.000,,.040,10,,.567,.294,,0,0,2015
125,100,Mike Conley,PG,27,MEM,70,2225,.446,13.5,,.686,.276,.169,.100,.142,.314,,.473,.588,.430,.398,.352,.386,,.241,.720,,.000,0,,.159,.432,,3,0,2015
126,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
127,101,Jack Cooley,C,23,UTA,16,87,.409,6.5,,1.000,.455,.318,.045,.182,.000,,.409,.600,.286,.000,.250,,,.667,,,.000,0,,,,,0,0,2015
128,102,Chris Copeland,SF,30,IND,50,828,.361,16.5,,.461,.210,.152,.026,.074,.539,,.420,.554,.319,.250,.304,.311,,.317,.962,,.010,2,,.251,.381,,0,0,2015
129,103,Bryce Cotton,PG,22,UTA,15,159,.420,16.3,,.710,.087,.188,.101,.333,.290,,.449,.667,.538,.429,.348,.350,,.318,.714,,.029,2,,.100,.500,,0,0,2015
130,104,DeMarcus Cousins,C,24,SAC,59,2013,.467,7.7,,.992,.419,.257,.078,.237,.008,,.469,.633,.318,.349,.383,.250,,.520,1.000,,.072,72,,.125,.000,,0,0,2015
131,105,Robert Covington,SF,24,PHI,70,1956,.396,17.5,,.410,.206,.112,.033,.058,.590,,.426,.590,.271,.280,.227,.374,,.576,.910,,.012,8,,.188,.405,,2,0,2015
132,106,Allen Crabbe,SG,22,POR,51,683,.412,17.9,,.444,.203,.026,.059,.157,.556,,.485,.839,.500,.111,.167,.353,,.848,1.000,,.072,9,,.412,.400,,0,0,2015
133,107,Jamal Crawford,SG,34,LAC,64,1703,.396,18.4,,.566,.076,.117,.117,.244,.434,,.448,.578,.459,.347,.449,.327,,.319,.748,,.001,1,,.195,.352,,8,0,2015
134,108,Jae Crowder,SF,24,TOT,82,1647,.420,15.1,,.618,.279,.070,.097,.174,.382,,.499,.618,.395,.453,.368,.293,,.679,.967,,.031,14,,.255,.302,,2,0,2015
135,108,Jae Crowder,SF,24,DAL,25,265,.434,17.2,,.500,.197,.039,.079,.184,.500,,.526,.667,.667,.333,.429,.342,,.450,.923,,.013,1,,.368,.500,,0,0,2015
136,108,Jae Crowder,SF,24,BOS,57,1382,.418,14.8,,.638,.292,.075,.100,.173,.362,,.495,.613,.371,.468,.358,.282,,.709,.979,,.034,13,,.229,.231,,2,0,2015
137,109,Dante Cunningham,PF,27,NOP,66,1652,.457,13.8,,.971,.245,.094,.071,.560,.029,,.468,.663,.281,.375,.426,.100,,.929,1.000,,.035,12,,.300,.000,,1,0,2015
138,110,Jared Cunningham,SG,23,LAC,19,89,.364,14.3,,.606,.333,.061,.030,.182,.394,,.400,.364,.500,.000,.500,.308,,1.000,1.000,,.091,3,,.462,.333,,0,0,2015
139,111,Seth Curry,PG,24,PHO,2,8,.000,22.7,,.667,.000,.000,.000,.667,.333,,.000,,,,.000,.000,,,,,.000,0,,.000,,,0,0,2015
140,112,Stephen Curry,PG,26,GSW,80,2613,.487,17.6,,.518,.186,.098,.072,.163,.482,,.528,.687,.458,.515,.394,.443,,.332,.584,,.003,4,,.121,.564,,8,0,2015
141,113,Samuel Dalembert,C,33,NYK,32,544,.438,7.2,,1.000,.377,.262,.238,.123,.000,,.438,.612,.294,.323,.438,,,.667,,,.154,19,,,,,0,0,2015
